id,name,meal_type
137739,arriba   baked winter squash mexican style,other
31490,a bit different  breakfast pizza,breakfast
112140,all in the kitchen  chili,dinner
59389,alouette  potatoes,other
44061,amish  tomato ketchup  for canning,other
5289,apple a day  milk shake,drink
25274,aww  marinated olives,other
67888,backyard style  barbecued ribs,dinner
70971,bananas 4 ice cream  pie,dessert
75452,beat this  banana bread,dessert
109439,berry  good sandwich spread,other
42198,better than sex  strawberries,dessert
67547,better then bush s  baked beans,other
107517,boat house  collard greens,other
39959,calm your nerves  tonic,drink
63986,chicken lickin  good  pork chops,dinner
43026,chile rellenos,dinner
23933,chinese  candy,dessert
8559,chinese  chop suey,dinner
23850,cream  of cauliflower soup  vegan,other
76808,cream  of spinach soup,other
24701,cream  of spinach soup  vegan,other
83873,crispy crunchy  chicken,dinner
107699,deep fried dessert thingys,dessert
49262,easiest ever  hollandaise sauce,other
48156,emotional balance  spice mixture,other
54272,fool the meat eaters  chili,dinner
47366,forgotten  minestrone,dinner
37073,fried  potatoes,other
44123,george s at the cove  black bean soup,other
27087,get the sensation  brownies,dessert
59952,global gourmet  taco casserole,dinner
93249,grilled  ranch bread,other
54100,grilled  venison burgers,dinner
67664,healthy for them  yogurt popsicles,dessert
87098,homemade  vegetable soup from a can,other
25775,how i got my family to eat spinach  spinach casserole,dinner
33165,i can t believe it s low fat  creamy potato salad,other
38798,i can t believe it s spinach,other
22123,i don t feel like cooking tonight  casserole,dinner
90921,i stole the idea from mirj  sesame noodles,other
93959,i yam what i yam two  muffins,breakfast
93958,i yam what i yam  muffins,breakfast
58224,immoral  sandwich filling  loose meat,other
33606,italian sandwich  pasta salad,other
94710,italian  fries,other
35173,italian  gut busters,dinner
83025,jeanne s style  birthday cake,dessert
52804,jiffy  extra moist carrot cake,dessert
108414,jiffy  roasted corn and jalapeno cornbread,other
26995,keep it going  german friendship cake,other
53402,killer  lasagna,dinner
59632,kitchen sink  egg bake,breakfast
22526,land of nod  cinnamon buns,breakfast
100870,leftovers  spaghetti sauce,other
84797,love is in the air  beef fondue   sauces,other
35653,make it your way  shortcakes,dessert
32169,make that chicken dance  salsa pasta,dinner
24478,marijuana  vinegar,other
44045,mennonite  corn fritters,other
60219,mexican pasta,dinner
81185,mock a mole   low fat guacamole,other
30131,momma s special  marinade,other
63593,more  more    apple pear jigglers,dessert
43164,mr  grant you took half veal prince orloff,dinner
30300,munch without guilt  tomatoes,other
78655,my muffuletta sandwich,dinner
74805,never weep  whipped cream,other
71635,no bake  cookie crumble cheesecake,dessert
38276,now and later  vegetarian empanadas,dinner
97052,off the cob  freezer corn,other
26835,one bowl  perfect pound cake,dessert
32271,one pot  brownies,dessert
107229,open sesame  noodles,dinner
5060,philly  waldorf salad,other
42570,pick me up  party chicken kabobs,dinner
52443,pizza  stuffed potato,dinner
35595,pour over anything  mushroom gravy,other
108804,put down your fork   tuna and bean salad,other
83950,real  italian bolognese sauce,other
19208,red hot  applesauce,other
64302,red  macaroni salad,other
35964,rich  hot fudge cake,dessert
71457,rise and shine  german fruit pancake,breakfast
95926,say what   banana sandwich,other
103948,smells like sunday  chicken fricassee with meatballs,dinner
99024,smoked  salmon  cracker spread,other
64045,some like it hot,other
41756,souper  easy sweet   sour meatballs,dinner
112959,sour cream  avocado dip  vegan,other
83062,spicy  banana bread,dessert
98930,steamed  chicken cutlets in packages,dinner
83133,stove top  bbq  beef or pork ribs,dinner
39947,sugared grapes,other
44895,symphony  brownies,dessert
39363,the best  banana bread  or muffins,breakfast
62368,the best  chocolate chip cheesecake ever,dessert
111875,the elvis  smoothie,drink
42522,the man s  taco dip,other
34930,the woiks  dilly burgers,dinner
