Milk,Eggs,Peanuts,Soy,Wheat,Tree Nuts,Fish,Shellfish
Butter,Egg,Peanut,Soy,Bread,Nut,Fish,Shellfish
Cheddar,Eggs,Peanuts,Tofu,Pasta,Nuts,Salmon,Shrimp
Mozzarella,Mayonnaise,PH,Edamame,Cake,Almonds,Tuna,Lobster
Yogurt,Hollandaise sauce,PH,Tempeh,Pizza dough,Walnuts,Trout,Crab
Cream,Meringue,PH,Miso,Crackers,Pecans,Cod,Mussels
Ice cream,Quiche,PH,Soybean,Pastries,Cashews,Sardines,Clams
Whey,Omelette,PH,PH,Flour,Hazelnuts,Mackerel,Oysters
Casein,Cake,PH,PH,Cookies,Pistachios,Anchovies,Scallops
Ghee,Pancakes,PH,PH,Muffins,Almond milk,Herring,Squid
Custard,Soufflés,PH,PH,Donuts,PH,Halibut,Calamari
Milk,PH,PH,PH,Cereal,PH,Caviar,Prawns
Pudding,PH,PH,PH,Tortillas,PH,Sushi,Crawfish
Buttermilk,PH,PH,PH,Biscuits,PH,PH,PH
Lassi,PH,PH,PH,Pancakes,PH,PH,PH
Ricotta cheese,PH,PH,PH,Toast,PH,PH,PH
